WO,"District
","Ward
","Date
","Shift
","Supervisor
",# Staff OR Contracted Crew,"Hours Worked
",# of Equipment (Dump Trucks),In-House/ Contractor (RAW),"Dump Truck Provider 
Contractor",Location,From ,To,"Type (Road Class/ School, Bridge)
","Equip. Method
","# Loads
","Tonnes 
(auto-populates)
","One Side/ Both Sides
","# Km
",Snow Dumped Site,__submission_id
,SC,20,4-Mar-25,6:00 AM - 6:00 PM,Les Geroly,,,,In-House / A1,Ellesmere,Landry Ave,Danforth Ave,Leyton Ave,,,,0.0,Both sides,0.28,Morningside,
,TEY,19,4-Mar-25,6:30 AM - 6:30 PM,Wyatt Cerqua,7,11.5,20.0,In-House / A1,Castlefield,Dawes Road,Victoria Park ave,Crescent Town,,,42,420.0, West,1.17,Unwin,
,TEY,19,4-Mar-25,6:30 AM - 6:30 PM,Wyatt Cerqua,,,,In-House / A1,Castlefield,Ferris Rd,Cedarcrest Blvd,Notley place,,,,0.0,North &South,1.28,Unwin,
,TEY,14,4-Mar-25,6:30 AM - 6:30 PM,Wyatt Cerqua,,,,In-House / A1,Castlefield,Blake street,Boulbee Ave,Strathcona Ave,,,,0.0,East,0.49,Unwin,
,TEY,14,4-Mar-25,6:30 AM - 6:30 PM,Wyatt Cerqua,,,,In-House / A1,Castlefield,Bloomfield ave,Greenwood ave,Prust ave,,,,0.0,north,0.21,Unwin,
,TEY,14,4-Mar-25,6:30 AM - 6:30 PM,Wyatt Cerqua,,,,In-House / A1,Castlefield,Sandford ave,Prust ave,Greenwood ave,,,,0.0,North,0.21,Unwin,
,TEY,14,4-Mar-25,6:30 AM - 6:30 PM,Wyatt Cerqua,,,,In-House / A1,Castlefield,Leslie st,Gerrard ave,Ivy ave,,,,0.0,west,0.3,Unwin,
,TEY,14,4-Mar-25,6:30 AM - 6:30 PM,Wyatt Cerqua,,,,In-House / A1,Castlefield,Chatham ave,Greenwood ave ,Jones ave,,,,0.0,South,0.65,Unwin,
,TEY,14,4-Mar-25,6:30 AM - 6:30 PM,Wyatt Cerqua,,,,In-House / A1,Castlefield,Hazelwood ave,Jones ave,Pape ave,,,,0.0,North,0.38,Unwin,
,TEY,14,4-Mar-25,6:30 AM - 6:30 PM,Wyatt Cerqua,,,,In-House / A1,Castlefield,Harcourt ave,Jones Ave,Pape ave,,,,0.0,South,0.38,Unwin,
,NY,8,8-Mar-25,Day - 6:30am-6:30pm,K. Bonner,TOA2-2 - Crew 1,,,TOA2-2,,St Germain Ave,Bathurst St,Dead End,Local,FEL w/Blower,,0.0,Both,0.808,Transit,
,NY,8,8-Mar-25,Day - 6:30am-6:30pm,K. Bonner,TOA2-2 - Crew 1,,,TOA2-2,,Marmion Ave,Falkirk St,Bathurst St,Local,FEL w/Blower,,0.0,Both,0.624,Transit,
,NY,8,8-Mar-25,Day - 6:30am-6:30pm,K. Bonner,TOA2-2 - Crew 1,,,TOA2-2,,Falkirk St,Cranbrooke Ave,Melrose Ave,Local,FEL w/Blower,,0.0,Both,0.886,Transit,
,NY,8,8-Mar-25,Day - 6:30am-6:30pm,K. Bonner,TOA2-2 - Crew 1,,,TOA2-2,,Deloraine Ave,Bathurst St,Barse St,Local,FEL w/Blower,,0.0,Both,0.232,Transit,
,NY,8,8-Mar-25,Day - 6:30am-6:30pm,K. Bonner,TOA2-2 - Crew 1,,,TOA2-2,,Brookdale Ave,Barse St,Dead End,Local,FEL w/Blower,,0.0,Both,1.522,Transit,
,NY,15,18-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,12,5.0,TOA2-2,,Bayview Ave,York Mills Rd,Lawrence Ave E,Arterial,FEL w/Blower,75,750.0,"One - W?
",2.24,Transit,
,NY,15,18-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,,,TOA2-2,,Bayview Ave,"Don River
Between Post Rd & Lawrence Ave","(Bridge ID: 285)
**Included in above stretch**",Bridge,FEL w/Blower,,0.0,,0.1,Transit,
,NY,8,18-Feb-25,Night - 6:30pm-6:30am,M.Mariani ,TOA2-2 - Crew 2,12,5.0,TOA2-2,,Bathurst St - SB,Wilson Ave,Lawrence Ave W,Arterial,FEL w/Blower,117,1170.0,W Side,2.03,Transit,
,NY,8,19-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Bathurst St,Lawrence Ave W,Eglinton Ave W,Arterial,FEL w/Blower,22,220.0,W Side,2.04,Transit,
,TEY,14,4-Mar-25,7:00 AM - 5:30 PM,Ian McGhee,7,10.5,17.0,In-House / A1,Leslie,Frankdale Ave,Mortimer Ave,Memorial Park Ave,Local,Blower,43,430.0,Both sides,0.4,Unwin,
,TEY,14,4-Mar-25,7:00 AM - 5:30 PM,Ian McGhee,,,,In-House / A1,Leslie,Inwood Ave,Mortimer Ave,Memorial Park Ave,Local,Blower,,0.0,Both sides,0.4,Unwin,
,TEY,14,4-Mar-25,7:00 AM - 5:30 PM,Ian McGhee,,,,In-House / A1,Leslie,Donmore Ave,Mortimer Ave,Memorial Park Ave,Local,Blower,,0.0,Both sides,0.4,Unwin,
,TEY,14,4-Mar-25,7:00 AM - 5:30 PM,Ian McGhee,,,,In-House / A1,Leslie,Kimbourne Ave,Mortimer Ave,Memorial Park Ave,Local,Blower,,0.0,Both sides,0.4,Unwin,
,TEY,14,4-Mar-25,7:00 AM - 5:30 PM,Ian McGhee,,,,In-House / A1,Leslie,Leroy Ave,Mortimer Ave,Memorial Park Ave,Local,Blower,,0.0,Both sides,0.4,Unwin,
,TEY,14,4-Mar-25,7:00 AM - 5:30 PM,Ian McGhee,,,,In-House / A1,Leslie,Memorial Park Ave,Donlands Ave,Coxwell Ave,Local,Blower,,0.0,Both sides,2.26,Unwin,
,TEY,14,4-Mar-25,7:00 AM - 5:30 PM,Ian McGhee,,,,In-House / A1,Leslie,St Hubert Ave,Memorial Park,O'Connor,Local,Blower,,0.0,Both sides,1.24,Unwin,
,TEY,14,4-Mar-25,7:00 AM - 5:30 PM,Ian McGhee,,,,In-House / A1,Leslie,Dieppe Rd,St Hubert Ave,Greenwood ave,Local,Blower,,0.0,Both sides,0.24,Unwin,
,TEY,14,4-Mar-25,7:00 AM - 5:30 PM,Ian McGhee,,,,In-House / A1,Leslie,Cadorna Ave,Memorial Park,O'Connor Dr,Local,Blower,,0.0,Both sides,1.24,Unwin,
,TEY,14,4-Mar-25,7:00 AM - 5:30 PM,Ian McGhee,,,,In-House / A1,Leslie,Northridge Ave,Cosburn Ave,O'Connor Dr,Local,Blower,,0.0,e,0.41,Unwin,
,TEY,14,4-Mar-25,7:00 AM - 5:30 PM,Ian McGhee,,,,In-House / A1,Leslie,Lesmont Ave,O'Connor Dr,Cosburn Ave,Local,Blower,,0.0,west,0.41,Unwin,
,SC,25,28-Feb-25,,Toronto Water - Michael Moosaie,,,,Toronto Water,,401 FRIENDSHIP AVE,West Rouge Junior Public School,,School Zone,,,0.0,,0.1,,
,TEY,19,4-Mar-25,6:30 AM - 6:30 PM,Tomas Chamul,9,12,9.0,In-House / A1,Eastern,Wildwood Cres,Woodbine Ave,Hollywood Cres,Local,Blower,20,200.0,n,0.57,Unwin,
,TEY,19,4-Mar-25,6:30 AM - 6:30 PM,Tomas Chamul,,,,In-House / A1,Eastern,Gainsborough Rd,Gerrard St E,Dead end,Local,Blower,,0.0,e,0.43,Unwin,
,TEY,19,4-Mar-25,6:30 AM - 6:30 PM,Tomas Chamul,,,,In-House / A1,Eastern,Wembley Dr,Gerrard St E,Gainsborough Rd,Local,Blower,,0.0,w,0.26,Unwin,
,TEY,19,4-Mar-25,6:30 AM - 6:30 PM,Tomas Chamul,,,,In-House / A1,Eastern,Hollywood Cres,Gerrard St E,Ladykirk Ave,Local,Blower,,0.0,e,0.38,Unwin,
,TEY,19,4-Mar-25,6:30 AM - 6:30 PM,Tomas Chamul,,,,In-House / A1,Eastern,Ladykirk Ave,Gerrard St E,Wildwood Cres,Local,Blower,,0.0,e,0.15,Unwin,
,NY,8,19-Feb-25,Night - 6:30pm-6:30am,M.Mariani ,TOA2-2 - Crew 2,12,5.0,TOA2-2,,Bathurst St - SB,Lawrence Ave W,Glencairn Ave,Arterial,FEL w/Blower,100,1000.0,W Side,0.764,Transit,
,NY,8,20-Feb-25,Day - 6:30am-6:30pm,P. Monardo / MP,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Bathurst St ,St Germain Ave,Wilson Ave,Arterial,FEL w/Blower,37,370.0,Both ,2.56,Transit,
,NY,8,20-Feb-25,Night - 6:30pm-6:30am,M.Mariani ,TOA2-2 - Crew 2,12,5.0,TOA2-2,,Batthurst St - SB,Sheppard Ave ,Wilson Ave,Arterial,FEL w/Blower,,0.0,W Side,2,Transit,
,"NY, TEY","8, 12",21-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Bathurst St - SB,Glencairn Ave,St Clair Ave W,Arterial,FEL W/Blower,41,410.0,W,3.31,Transit,
,NY,15,21-Feb-25,Night - 6:30pm-6:30am,M.Mariani ,TOA2-2 - Crew 2,12,5.0,TOA2-2,,Bayview Ave,York Mills Rd,Hwy 401,Arterial,FEL w/Blower,,0.0,Both,,Transit,
,NY,8,22-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Yonge St - SB,Hwy 401,Lawrence Ave W,Arterial,FEL w/Blower,35,350.0,W,3.05,Transit,
,"NY, TEY","12, 8",22-Feb-25,Night - 6:30pm-6:30am,M.Mariani ,TOA2-2 - Crew 2,12,5.0,TOA2-2,,Avenue Rd - NB,St Clair Ave W,Briar Hill Ave,Arterial,FEL w/Blower,63,630.0,E Side,3.13,Transit,
,TEY,12,23-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Mt Pleasant Rd - SB,Eglinton Ave E,St Clair Ave E,Arterial,FEL w/Blower,32,320.0,W,2.08,Transit,
,"NY, TEY","12, 8",23-Feb-25,Night - 6:30pm-6:30am,M.Mariani ,TOA2-2 - Crew 2,12,5.0,TOA2-2,,St Clair Ave E - WB,Mt Pleasant Rd,Yonge St,Arterial,FEL w/Blower,15,150.0,N Side,0.903,Transit,
,"NY, TEY","12, 8",23-Feb-25,Night - 6:30pm-6:30am,M.Mariani ,TOA2-2 - Crew 2,,,TOA2-2,,St Clair Ave E - EB,Yonge St,Mt Pleasant Rd,Arterial,FEL w/Blower,16,160.0,S Side,0.903,Transit,
,"NY, TEY","12, 8",23-Feb-25,Night - 6:30pm-6:30am,M.Mariani ,TOA2-2 - Crew 2,,,TOA2-2,,Avenue Rd - NB,Briar Hill Ave,Lawrence Ave W,Arterial,FEL w/Blower,68,680.0,E Side,1.29,Transit,
,TEY,11,24-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Mt Pleasant Rd - SB,St Clair Ave E,Bloor St,Arterial,FEL w/Blower,17,170.0,West side,2.15,Transit,
,TEY,11,24-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,,,TOA2-2,,Mt Pleasant Rd - NB,Bloor St,Roxborough Dr,Arterial,FEL w/Blower,15,150.0,E side,1.01,Transit,
,NY,17,24-Feb-25,Night - 6:30pm-6:30am,M.Mariani ,TOA2-2 - Crew 2,12,5.0,TOA2-2,,Sheppard Ave E - EB,Provost Dr,Shaughnessy Blvd,Arterial,FEL w/Blower,93,930.0,S Side,1.5,Transit,
,NY,15,25-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Mt Pleasant Rd - NB,Soudan Ave,Eglinton Ave E,Arterial,FEL w/Blower,8,80.0,East,0.254,Transit,
,NY,15,25-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,,,TOA2-2,,Overlea Blvd,Don Mills Rd ,Millwood Rd,"Arterial, Bridge",FEL w/Blower,15,150.0,Both,3.58,Transit,
,NY,16,25-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,,,TOA2-2,,Don Mills Rd - NB,Overlea Blvd,The Donway E,Arterial,FEL w/Blower,17,170.0,East,2.53,Transit,
,NY,17,25-Feb-25,Night - 6:30pm-6:30am,M.Mariani ,TOA2-2 - Crew 2,12,5.0,TOA2-2,,Sheppard Ave - EB,Hwy 404,Victoria Park Ave,Arterial,FEL w/Blower,66,660.0,S Side,1.39,Transit,
,NY,6,26-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Wilmington Ave,Finch Ave W,Sheppard Ave W,Arterial,FEL w/Blower,49,490.0,Both,4.16,Transit,
,NY,17,27-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Colonnade Rd,Unicorn Ave,Snowcrest Ave,Local,FEL w/Blower,17,170.0,Both,0.794,Transit,
,NY,17,27-Feb-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,,,TOA2-2,,Unicorn Ave,Snowcrest Ave,Snowcrest Ave,Local,FEL w/Blower,19,190.0,Both,0.738,Transit,
,NY,17,2-Mar-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Bathurst St - NB,Delhi Ave,Danby Ave,Arterial,FEL w/Blower,12,120.0,E Side,1.02,Transit,
,NY,17,2-Mar-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,,,TOA2-2,,Bathurst St - NB,Sheppard Ave,Verwood Ave,Arterial,FEL w/Blower,13,130.0,E Side,0.436,Transit,
,TEY,14,4-Mar-25,6:30 AM - 6:30 PM,Tariq Habib,6,10,6.0,In-House / A1,King,Austin Ave,Pape Ave,Marjory Ave,,,20,200.0,S,0.24,Unwin,
,TEY,14,4-Mar-25,6:30 AM - 6:30 PM,Tariq Habib,,,,In-House / A1,King,Dagmar Ave,Dundas St E,Jones Ave,,,,0.0,S&N,0.44,Unwin,
,TEY,14,4-Mar-25,6:30 AM - 6:30 PM,Tariq Habib,,,,In-House / A1,King,Marjory Ave,Dagmar Ave,Gerrard St E,,,,0.0,E,0.28,Unwin,
,TEY,14,4-Mar-25,6:30 AM - 6:30 PM,Tariq Habib,,,,In-House / A1,King,Galt Ave,Gerrard St E,Dagmar Ave,,,,0.0,W,0.28,Unwin,
,TEY,14,4-Mar-25,6:30 AM - 6:30 PM,Tariq Habib,,,,In-House / A1,King,Endean Ave,Jones Ave,Leslie St,,,,0.0,S,0.21,Unwin,
,TEY,14,4-Mar-25,6:30 AM - 6:30 PM,Tariq Habib,,,,In-House / A1,King,Sproat Ave,Leslie St,Jones Ave,,,,0.0,N,0.21,Unwin,
,NY,17,2-Mar-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,,,TOA2-2,,Bathurst St - NB,Sheppard Ave,Finch ave W,Arterial,FEL w/Blower,11,110.0,E Side,2.05,Transit,
,NY,"18, 17",2-Mar-25,Night - 6:30pm-6:30am,M.Mariani ,TOA2-2 - Crew 2,12,5.0,TOA2-2,,Sheppard Ave - EB,Bathurst St,Hwy 404,Arterial,FEL w/Blower,24,240.0,S Side,8.18,Transit,
,NY,"18, 17",2-Mar-25,Night - 6:30pm-6:30am,M.Mariani ,TOA2-2 - Crew 2,,,TOA2-2,,Sheppard Ave - WB,Hwy 404,Burbank Dr (Shaugnessy Blvd?),Arterial,FEL w/Blower,28,280.0,N Side,3.03,Transit,
,NY,15,3-Mar-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Kenneth Ave / Doris Ave,Sheppard Ave E,Bishop Ave,Collector,FEL w/Blower,33,330.0,Both,4.572,Transit,
,NY,18,3-Mar-25,Night - 6:30pm-6:30am,M. Mariani ,TOA2-2 - Crew 2,12,5.0,TOA2-2,,Sheppard Ave - WB,Burbank Dr,Bathurst St,Arterial,FEL w/Blower,35,350.0,N. Side,5.18,Transit,
,NY,18,4-Mar-25,Day - 6:30am-6:30pm,P. Monardo,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Dudley Ave,Empress Ave,Byng Ave,Collector,FEL w/Blower,41,410.0,Both,1.63,Transit,
,TEY,12,4-Mar-25,Night - 6:30pm-6:30am,M. Mariani ,TOA2-2 - Crew 2,10,5.0,TOA2-2,,Oriole Pkwy,Eglinton Ave,Kilbarry Rd,Arterial,FEL w/Blower,44,440.0,Both,2.2,Transit,
,TEY,12,4-Mar-25,Night - 6:30pm-6:30am,M. Mariani ,TOA2-2 - Crew 2,,,TOA2-2,,Duplex Ave,Eglinton Ave,Chaplin Cres,Arterial,FEL w/Blower,9,90.0,Both,1.916,Transit,
,TEY,12,4-Mar-25,Night - 6:30pm-6:30am,M. Mariani ,TOA2-2 - Crew 2,,,TOA2-2,,Spadina Rd - SB,Eglinton Ave,Lonsdale Rd,Arterial,FEL w/Blower,11,110.0,W Side,1.6,Transit,
,NY,"17, 18",5-Mar-25,Night - 6:30pm-6:30am,M. Mariani ,TOA2-2 - Crew 2,12,5.0,TOA2-2,,Finch Ave - EB,Seneca Hill Dr (Hwy 404?),Victoria Park Ave,Arterial,FEL w/Blower,,0.0,S Side,1.33,Transit,
,NY,"17, 18",5-Mar-25,Night - 6:30pm-6:30am,M. Mariani ,TOA2-2 - Crew 2,,,TOA2-2,,Finch Ave - WB,Victoria Park Ave,Yonge St,Arterial,FEL w/Blower,,0.0,N. Side,7.07,Transit,
,NY,"6, 17, 18",5-Mar-25,Night - 6:30pm-6:30am,M. Mariani ,TOA2-2 - Crew 2,,,TOA2-2,,Finch Ave,Bathurst St,Keele St,Arterial,FEL w/Blower,,0.0,Both,8,Transit,
,NY,18,5-Mar-25,Night - 6:30pm-6:30am,M. Mariani ,TOA2-2 - Crew 2,,,TOA2-2,,Yonge St - SB,North Park Blvd,Avondale Ave,Arterial,FEL w/Blower,,0.0,W Side,0.95,Transit,
,NY,18,5-Mar-25,Night - 6:30pm-6:30am,M. Mariani ,TOA2-2 - Crew 2,,,TOA2-2,,Yonge St - NB,Greenfield Ave,Church Ave,Arterial,FEL w/Blower,,0.0,E Side,1.19,Transit,
,NY,18,6-Mar-25,Day - 6:30am-6:30pm,K. Bonner,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Yonge St,Horsham Ave,Finch Ave,Arterial,FEL w/Blower,,0.0,Both,1.024,Transit,
,NY,18,6-Mar-25,Day - 6:30am-6:30pm,K. Bonner,TOA2-2 - Crew 2,,,TOA2-2,,Dudley Ave,Bishop Ave,Finch Ave,Collector,FEL w/Blower,,0.0,Both,0.39,Transit,
,NY,18,6-Mar-25,Day - 6:30am-6:30pm,K. Bonner,TOA2-2 - Crew 2,,,TOA2-2,,Highland Cres,Bayview Ave,York Mills Rd,Collector,FEL w/Blower,,0.0,Both,2.4,Transit,
,NY,15,6-Mar-25,Night - 6:30pm-6:30am,P. Monardo,TOA2-2 - Crew 2,12,15.0,TOA2-2,,Roselawn Ave,Bathurst St,Yonge St,Collector,FEL w/Blower,36,360.0,Both,4.5,Transit,
,NY,15,6-Mar-25,Night - 6:30pm-6:30am,P. Monardo,TOA2-2 - Crew 2,,,TOA2-2,,Castlefield Ave,Yonge St,Rosewell Ave,Collector / Local,FEL w/Blower,9,90.0,Both,0.914,Transit,
,NY,8,7-Mar-25,Day - 7:00am-7:00am,M. Mariani ,TOA2-2 - Crew 2,12,5.0,TOA2-2,,Roselawn Ave,Yonge St,Avenue Rd,Collector,FEL w/Blower,,0.0,Both,0,Transit,
,NY,8,7-Mar-25,Day - 7:00am-7:00am,M. Mariani ,TOA2-2 - Crew 2,,,TOA2-2,,Castlefield Ave,Yonge St,Rosewell Ave,Local,FEL w/Blower,,0.0,Both,0,Transit,
,NY,15,7-Mar-25,Day - 7:00am-7:00am,M. Mariani ,TOA2-2 - Crew 2,,,TOA2-2,,Ronan Ave,Lawrence Ave W,Golfdale Rd,Local,FEL w/Blower,,0.0,Both,1.518,Transit,
,TEY,4,4-Mar-25,6:30 PM - 6:30 AM,Garrett Silveira,5,11,5.0,In-House / A1,King,Brad St,Dundas St W,Dead end,Dead end and narrow roads,,22,220.0,Both sides,0.22,Unwin,
,TEY,9,4-Mar-25,6:30 PM - 6:30 AM,Garrett Silveira,,,,In-House / A1,King,Clark Cres,Edwin Ave,Dead end,Dead end and narrow roads,,,,Both sides,0.1,Unwin,
,TEY,9,4-Mar-25,6:30 PM - 6:30 AM,Garrett Silveira,,,,In-House / A1,King,Antler St,Franklin Ave,Dead end,Dead end and narrow roads,,,,Both sides,0.08,Unwin,
,TEY,9,4-Mar-25,6:30 PM - 6:30 AM,Garrett Silveira,,,,In-House / A1,King,Ruskin Ave,Edwin Ave,Dead end,Dead end and narrow roads,,,,Both sides,0.06,Unwin,
,TEY,9,4-Mar-25,6:30 PM - 6:30 AM,Garrett Silveira,,,,In-House / A1,King,Macaulay Ave,Entire Street,,Dead end and narrow roads,,,,Both sides,0.42,Unwin,
,TEY,9,4-Mar-25,6:30 PM - 6:30 AM,Garrett Silveira,,,,In-House / A1,King,Wallace Ave,Perth Ave,Sousa Mendes St,Dead end and narrow roads,,,,Both sides,0.38,Unwin,
